passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,dominant_emotion,dominant_count,rate_per_1000_words,lexicon_source
ch05_p012,"Ch. 5: The CIA, passage 12",5,The CIA,12,280,trust,6,21.428571428571427,NRC lexicon via tidytext/textdata
ch05_p013,"Ch. 5: The CIA, passage 13",5,The CIA,13,235,anticipation,8,34.04255319148936,NRC lexicon via tidytext/textdata
ch05_p014,"Ch. 5: The CIA, passage 14",5,The CIA,14,231,trust,8,34.63203463203463,NRC lexicon via tidytext/textdata
ch05_p015,"Ch. 5: The CIA, passage 15",5,The CIA,15,261,trust,6,22.988505747126435,NRC lexicon via tidytext/textdata
ch05_p016,"Ch. 5: The CIA, passage 16",5,The CIA,16,242,joy,4,16.528925619834713,NRC lexicon via tidytext/textdata
ch05_p017,"Ch. 5: The CIA, passage 17",5,The CIA,17,255,joy,11,43.13725490196078,NRC lexicon via tidytext/textdata
ch05_p018,"Ch. 5: The CIA, passage 18",5,The CIA,18,235,fear,10,42.5531914893617,NRC lexicon via tidytext/textdata
ch05_p019,"Ch. 5: The CIA, passage 19",5,The CIA,19,235,trust,11,46.80851063829787,NRC lexicon via tidytext/textdata
ch05_p020,"Ch. 5: The CIA, passage 20",5,The CIA,20,237,trust,10,42.19409282700422,NRC lexicon via tidytext/textdata
ch05_p021,"Ch. 5: The CIA, passage 21",5,The CIA,21,249,anticipation,6,24.096385542168676,NRC lexicon via tidytext/textdata
ch05_p022,"Ch. 5: The CIA, passage 22",5,The CIA,22,257,anticipation,5,19.45525291828794,NRC lexicon via tidytext/textdata
ch05_p023,"Ch. 5: The CIA, passage 23",5,The CIA,23,233,trust,8,34.33476394849785,NRC lexicon via tidytext/textdata
ch05_p024,"Ch. 5: The CIA, passage 24",5,The CIA,24,234,anticipation,5,21.367521367521366,NRC lexicon via tidytext/textdata
ch05_p025,"Ch. 5: The CIA, passage 25",5,The CIA,25,234,anticipation,5,21.367521367521366,NRC lexicon via tidytext/textdata
ch05_p026,"Ch. 5: The CIA, passage 26",5,The CIA,26,236,trust,13,55.08474576271186,NRC lexicon via tidytext/textdata
ch05_p027,"Ch. 5: The CIA, passage 27",5,The CIA,27,110,trust,9,81.81818181818181,NRC lexicon via tidytext/textdata
ch06_p001,"Ch. 6: Montevideo Uruguay, passage 1",6,Montevideo Uruguay,1,253,trust,11,43.47826086956522,NRC lexicon via tidytext/textdata
ch06_p002,"Ch. 6: Montevideo Uruguay, passage 2",6,Montevideo Uruguay,2,259,trust,7,27.027027027027028,NRC lexicon via tidytext/textdata
ch06_p003,"Ch. 6: Montevideo Uruguay, passage 3",6,Montevideo Uruguay,3,241,anticipation,7,29.04564315352697,NRC lexicon via tidytext/textdata
ch06_p004,"Ch. 6: Montevideo Uruguay, passage 4",6,Montevideo Uruguay,4,247,anticipation,10,40.48582995951417,NRC lexicon via tidytext/textdata
ch06_p005,"Ch. 6: Montevideo Uruguay, passage 5",6,Montevideo Uruguay,5,268,anticipation,6,22.388059701492537,NRC lexicon via tidytext/textdata
ch06_p006,"Ch. 6: Montevideo Uruguay, passage 6",6,Montevideo Uruguay,6,235,trust,7,29.787234042553195,NRC lexicon via tidytext/textdata
ch06_p007,"Ch. 6: Montevideo Uruguay, passage 7",6,Montevideo Uruguay,7,269,trust,15,55.762081784386616,NRC lexicon via tidytext/textdata
ch06_p008,"Ch. 6: Montevideo Uruguay, passage 8",6,Montevideo Uruguay,8,263,trust,13,49.42965779467681,NRC lexicon via tidytext/textdata
ch06_p009,"Ch. 6: Montevideo Uruguay, passage 9",6,Montevideo Uruguay,9,244,trust,6,24.59016393442623,NRC lexicon via tidytext/textdata
ch06_p010,"Ch. 6: Montevideo Uruguay, passage 10",6,Montevideo Uruguay,10,281,fear,7,24.91103202846975,NRC lexicon via tidytext/textdata
ch06_p011,"Ch. 6: Montevideo Uruguay, passage 11",6,Montevideo Uruguay,11,239,fear,10,41.84100418410041,NRC lexicon via tidytext/textdata
ch06_p012,"Ch. 6: Montevideo Uruguay, passage 12",6,Montevideo Uruguay,12,241,trust,10,41.49377593360996,NRC lexicon via tidytext/textdata
ch06_p013,"Ch. 6: Montevideo Uruguay, passage 13",6,Montevideo Uruguay,13,236,trust,8,33.898305084745765,NRC lexicon via tidytext/textdata
ch06_p014,"Ch. 6: Montevideo Uruguay, passage 14",6,Montevideo Uruguay,14,243,trust,7,28.80658436213992,NRC lexicon via tidytext/textdata
ch06_p015,"Ch. 6: Montevideo Uruguay, passage 15",6,Montevideo Uruguay,15,237,trust,9,37.9746835443038,NRC lexicon via tidytext/textdata
ch06_p016,"Ch. 6: Montevideo Uruguay, passage 16",6,Montevideo Uruguay,16,218,trust,5,22.93577981651376,NRC lexicon via tidytext/textdata
ch07_p001,"Ch. 7: Headquarters Duty, passage 1",7,Headquarters Duty,1,235,anticipation,9,38.297872340425535,NRC lexicon via tidytext/textdata
ch07_p002,"Ch. 7: Headquarters Duty, passage 2",7,Headquarters Duty,2,238,trust,14,58.8235294117647,NRC lexicon via tidytext/textdata
ch07_p003,"Ch. 7: Headquarters Duty, passage 3",7,Headquarters Duty,3,266,fear,9,33.83458646616541,NRC lexicon via tidytext/textdata
ch07_p004,"Ch. 7: Headquarters Duty, passage 4",7,Headquarters Duty,4,290,trust,14,48.275862068965516,NRC lexicon via tidytext/textdata
ch07_p005,"Ch. 7: Headquarters Duty, passage 5",7,Headquarters Duty,5,249,sadness,9,36.144578313253014,NRC lexicon via tidytext/textdata
ch07_p006,"Ch. 7: Headquarters Duty, passage 6",7,Headquarters Duty,6,234,trust,7,29.914529914529915,NRC lexicon via tidytext/textdata
ch07_p007,"Ch. 7: Headquarters Duty, passage 7",7,Headquarters Duty,7,238,anticipation,12,50.42016806722689,NRC lexicon via tidytext/textdata
ch07_p008,"Ch. 7: Headquarters Duty, passage 8",7,Headquarters Duty,8,259,fear,5,19.305019305019304,NRC lexicon via tidytext/textdata
ch07_p009,"Ch. 7: Headquarters Duty, passage 9",7,Headquarters Duty,9,229,trust,4,17.46724890829694,NRC lexicon via tidytext/textdata
ch07_p010,"Ch. 7: Headquarters Duty, passage 10",7,Headquarters Duty,10,274,trust,16,58.394160583941606,NRC lexicon via tidytext/textdata
ch07_p011,"Ch. 7: Headquarters Duty, passage 11",7,Headquarters Duty,11,247,anticipation,13,52.63157894736842,NRC lexicon via tidytext/textdata
ch07_p012,"Ch. 7: Headquarters Duty, passage 12",7,Headquarters Duty,12,245,trust,5,20.408163265306122,NRC lexicon via tidytext/textdata
ch07_p013,"Ch. 7: Headquarters Duty, passage 13",7,Headquarters Duty,13,244,anticipation,7,28.688524590163937,NRC lexicon via tidytext/textdata
ch07_p014,"Ch. 7: Headquarters Duty, passage 14",7,Headquarters Duty,14,248,trust,5,20.161290322580644,NRC lexicon via tidytext/textdata
ch07_p015,"Ch. 7: Headquarters Duty, passage 15",7,Headquarters Duty,15,232,anticipation,11,47.41379310344827,NRC lexicon via tidytext/textdata
ch07_p016,"Ch. 7: Headquarters Duty, passage 16",7,Headquarters Duty,16,250,trust,7,28,NRC lexicon via tidytext/textdata
ch08_p001,"Ch. 8: Rio De Janeiro, passage 1",8,Rio De Janeiro,1,243,anticipation,5,20.5761316872428,NRC lexicon via tidytext/textdata
ch08_p002,"Ch. 8: Rio De Janeiro, passage 2",8,Rio De Janeiro,2,236,trust,8,33.898305084745765,NRC lexicon via tidytext/textdata
ch08_p003,"Ch. 8: Rio De Janeiro, passage 3",8,Rio De Janeiro,3,241,sadness,7,29.04564315352697,NRC lexicon via tidytext/textdata
ch08_p004,"Ch. 8: Rio De Janeiro, passage 4",8,Rio De Janeiro,4,244,anticipation,5,20.491803278688522,NRC lexicon via tidytext/textdata
ch08_p005,"Ch. 8: Rio De Janeiro, passage 5",8,Rio De Janeiro,5,267,trust,10,37.453183520599254,NRC lexicon via tidytext/textdata
ch08_p006,"Ch. 8: Rio De Janeiro, passage 6",8,Rio De Janeiro,6,252,fear,4,15.873015873015872,NRC lexicon via tidytext/textdata
ch08_p007,"Ch. 8: Rio De Janeiro, passage 7",8,Rio De Janeiro,7,234,trust,7,29.914529914529915,NRC lexicon via tidytext/textdata
ch08_p008,"Ch. 8: Rio De Janeiro, passage 8",8,Rio De Janeiro,8,250,trust,7,28,NRC lexicon via tidytext/textdata
ch08_p009,"Ch. 8: Rio De Janeiro, passage 9",8,Rio De Janeiro,9,233,trust,13,55.79399141630902,NRC lexicon via tidytext/textdata
ch08_p010,"Ch. 8: Rio De Janeiro, passage 10",8,Rio De Janeiro,10,234,trust,12,51.28205128205128,NRC lexicon via tidytext/textdata
ch08_p011,"Ch. 8: Rio De Janeiro, passage 11",8,Rio De Janeiro,11,239,anticipation,6,25.10460251046025,NRC lexicon via tidytext/textdata
ch08_p012,"Ch. 8: Rio De Janeiro, passage 12",8,Rio De Janeiro,12,251,anticipation,6,23.904382470119522,NRC lexicon via tidytext/textdata
ch08_p013,"Ch. 8: Rio De Janeiro, passage 13",8,Rio De Janeiro,13,234,sadness,5,21.367521367521366,NRC lexicon via tidytext/textdata
ch09_p001,"Ch. 9: The McLean Va. Years, passage 1",9,The McLean Va. Years,1,248,trust,8,32.25806451612903,NRC lexicon via tidytext/textdata
ch09_p002,"Ch. 9: The McLean Va. Years, passage 2",9,The McLean Va. Years,2,291,trust,8,27.491408934707902,NRC lexicon via tidytext/textdata
ch09_p003,"Ch. 9: The McLean Va. Years, passage 3",9,The McLean Va. Years,3,294,trust,12,40.816326530612244,NRC lexicon via tidytext/textdata
ch09_p004,"Ch. 9: The McLean Va. Years, passage 4",9,The McLean Va. Years,4,249,trust,10,40.16064257028113,NRC lexicon via tidytext/textdata
ch09_p005,"Ch. 9: The McLean Va. Years, passage 5",9,The McLean Va. Years,5,243,anticipation,8,32.92181069958848,NRC lexicon via tidytext/textdata
ch10_p001,"Ch. 10: Making a Career Change, passage 1",10,Making a Career Change,1,279,trust,11,39.42652329749104,NRC lexicon via tidytext/textdata
ch10_p002,"Ch. 10: Making a Career Change, passage 2",10,Making a Career Change,2,231,trust,6,25.974025974025977,NRC lexicon via tidytext/textdata
ch10_p003,"Ch. 10: Making a Career Change, passage 3",10,Making a Career Change,3,243,anticipation,10,41.1522633744856,NRC lexicon via tidytext/textdata
ch10_p004,"Ch. 10: Making a Career Change, passage 4",10,Making a Career Change,4,240,anticipation,10,41.666666666666664,NRC lexicon via tidytext/textdata
