passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,sentiment,count,rate_per_1000_words,lexicon_source
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,sadness,0,0,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,surprise,1,4.273504273504274,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,trust,14,59.82905982905983,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,anger,2,7.936507936507936,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,anticipation,7,27.777777777777775,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,disgust,0,0,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,fear,1,3.968253968253968,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,joy,5,19.841269841269842,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,negative,7,27.777777777777775,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,positive,10,39.682539682539684,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,sadness,2,7.936507936507936,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,surprise,4,15.873015873015872,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,trust,10,39.682539682539684,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,anger,2,7.6923076923076925,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,anticipation,12,46.15384615384615,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,disgust,3,11.538461538461538,NRC lexicon via tidytext/textdata
