id,label,short_label,type,group,chapter,title,value
person_heber_austin,Heber Austin,Heber Austin,Person,Person,NA,"Heber Austin
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_herbert_hoover,Herbert Hoover,Herbert Hoover,Person,Person,NA,"Herbert Hoover
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_j_golden_kimball,J. Golden Kimball,J. Golden Kimball,Person,Person,NA,"J. Golden Kimball
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_john_s_mccain,John S. McCain,John S. McCain,Person,Person,NA,"John S. McCain
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_joseph_fielding_smith,Joseph Fielding Smith,Joseph Fielding Smith,Person,Person,NA,"Joseph Fielding Smith
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_lester_allan_harris,Lester Allan Harris,Lester Allan Harris,Person,Person,NA,"Lester Allan Harris
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_louis_f_nuffer,Louis F. Nuffer,Louis F. Nuffer,Person,Person,NA,"Louis F. Nuffer
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_lucy_guyaz,Lucy Guyaz,Lucy Guyaz,Person,Person,NA,"Lucy Guyaz
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_maria_del_carmen_stevens,Maria del Carmen Stevens,Maria del Carmen Stevens,Person,Person,NA,"Maria del Carmen Stevens
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_mary_anderson,Mary Anderson,Mary Anderson,Person,Person,NA,"Mary Anderson
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_maryette_rice_harris_standley,Maryette Rice Harris Standley,Maryette Rice Harris Standley,Person,Person,NA,"Maryette Rice Harris Standley
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_nathan_harris,Nathan Harris,Nathan Harris,Person,Person,NA,"Nathan Harris
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_raymond_spruance,Raymond Spruance,Raymond Spruance,Person,Person,NA,"Raymond Spruance
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_reed_smoot,Reed Smoot,Reed Smoot,Person,Person,NA,"Reed Smoot
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_reuel_neilson,Reuel Neilson,Reuel Neilson,Person,Person,NA,"Reuel Neilson
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_richard_r_lyman,Richard R. Lyman,Richard R. Lyman,Person,Person,NA,"Richard R. Lyman
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_roger_williams,Roger Williams,Roger Williams,Person,Person,NA,"Roger Williams
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_rudger_clawson,Rudger Clawson,Rudger Clawson,Person,Person,NA,"Rudger Clawson
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_solomon_r_harris,Solomon R. Harris,Solomon R. Harris,Person,Person,NA,"Solomon R. Harris
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_stephen_l_richards,Stephen L. Richards,Stephen L. Richards,Person,Person,NA,"Stephen L. Richards
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_sylvester_q_cannon,Sylvester Q. Cannon,Sylvester Q. Cannon,Person,Person,NA,"Sylvester Q. Cannon
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_t_j_hurley,T. J. Hurley,T. J. Hurley,Person,Person,NA,"T. J. Hurley
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_tony_martin,Tony Martin,Tony Martin,Person,Person,NA,"Tony Martin
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_tyrone_power,Tyrone Power,Tyrone Power,Person,Person,NA,"Tyrone Power
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_vern_l_brown,Vern L. Brown,Vern L. Brown,Person,Person,NA,"Vern L. Brown
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_wiley_snarr,Wiley Snarr,Wiley Snarr,Person,Person,NA,"Wiley Snarr
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_wilmer_norton,Wilmer Norton,Wilmer Norton,Person,Person,NA,"Wilmer Norton
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
place_united_states,United States,United States,Place,Place,NA,"United States
Type: Place
Review status: unreviewed seed
Total mentions: 35",35
place_idaho,Idaho,Idaho,Place,Place,NA,"Idaho
Type: Place
Review status: unreviewed seed
Total mentions: 27.1293199325011",27.129319932501073
place_washington,Washington,Washington,Place,Place,NA,"Washington
Type: Place
Review status: unreviewed seed
Total mentions: 25.6124969497314",25.61249694973139
place_new_york,New York,New York,Place,Place,NA,"New York
Type: Place
Review status: unreviewed seed
Total mentions: 24.3310501211929",24.331050121192877
place_utah,Utah,Utah,Place,Place,NA,"Utah
Type: Place
Review status: unreviewed seed
Total mentions: 23.6643191323985",23.664319132398465
place_idaho_falls,Idaho Falls,Idaho Falls,Place,Place,NA,"Idaho Falls
Type: Place
Review status: unreviewed seed
Total mentions: 22.9782505861521",22.97825058615211
place_soviet_union,Soviet Union,Soviet Union,Place,Place,NA,"Soviet Union
Type: Place
Review status: unreviewed seed
Total mentions: 21.9089023002066",21.908902300206645
place_uruguay,Uruguay,Uruguay,Place,Place,NA,"Uruguay
Type: Place
Review status: unreviewed seed
Total mentions: 20.3960780543711",20.396078054371134
